ability,competence
chance,opportunity
day,date
danger,risk
force,power
goal,aim
home,family
hope,wish
mistake,error
practice,exercise
problem,question
response,reaction
trip,journey
criteria,standard
believe,trust
compare,contrast
doubt,suspect
draw,paint
decrease,lower
enjoy,like
laugh,smile
look,watch
occur,appear
persist,insist
refuse,reject
relate,connect
study,learn
speak,say
take,fetch
real,true
dark,black
glad,pleased
clever,smart
possible,likely
tall,high
good,nice
accurate,precise
stupid,foolish
lend,borrow
safe,secure
achievement,success
advice,suggestion
apology,regret
artist,painter
advantage,benefit
behavior,action
condition,situation
concept,thought
crop,harvest
creation,invention
discussion,debate
dialogue,talk
door,gate
decision,conclusion
example,model
expert,authority
element,component
future,tomorrow
game,sport
hospital,clinic
knowledge,information
machine,equipment
purpose,intention
report,statement
regulation,policy
seat,chair
story,novel
theory,hypothesis
table,desk
control,manipulate
exist,live
estimate,evaluate
find,discover
organize,arrange
plan,design
reality,truth
receive,accept
tell,inform
anxious,worried
noisy,loud
