matter,value
surface,history
society,moment
delay,century
union,space
science,range
separate,thick
shelter,technique
solid,different
favor,struggle
substantial,sufficient
task,text
welcome,send
connection,thinking
little,far
state,overcome
contemporary,cool
credit,version
vision,citizen
welfare,development
comfort,comment
package,concrete
confusion,concentration
classic,painful
number,support
clerk,case
pressure,pattern
panic,facility
fill,spread
fund,gas
source,station
general,sharp
temperature,motivation
government,system
lead,left
night,contact
nothing,term
certain,early
country,industry
market,speed
positive,quiet
gain,remove
frame,loan
judge,device
mission,humor
murder,breath
unusual,empty
relief,motion
save,dry
flow,catch
career,origin
ancient,narrow
unique,dead
useful,legal
tension,payment
mental,flat
mobile,soft
pick,bear
occasion,notion
inner,loose
fundamental,gradual
generation,sake
estate,soul
expense,agency
absence,self
apply,tend
trend,pride
fun,grace
grand,instant
curious,isolated
deny,hurry
cry,revenue
award,extend
aspect,variable
worship,quantity
split,reserve
survival,network
mature,logical
cast,raise
core,branc
